id,proper,ra,dec,mag,spect,con
73486,Brachium,15.067839,-25.281965,3.25,M3/M4III,Lib
36274,,7.487179,-43.301432,3.25,K5III SB,Pup
68675,,14.106193,-26.682361,3.25,K2III,Hya
17637,,3.787295,-74.238962,3.26,M2III,Hyi
112776,Skat,22.910837,-15.82082,3.27,A3V,Aqr
84711,,17.366827,-24.999545,3.27,B2IV,Oph
3086,,0.655462,30.861024,3.27,K3III...,And
75229,Edasich,15.415494,58.966065,3.29,K2III,Dra
49958,,10.228961,-70.037903,3.29,B8III,Car
24249,,5.215528,-16.205468,3.29,B9IV: HgMn,Lep
21228,,4.566598,-55.044975,3.3,A0V:,Dor
51428,,10.533743,-61.685332,3.3,B4Vne,Car
29582,Propus,6.247961,22.506799,3.31,M3III,Gem
85008,,17.423239,-56.377727,3.31,B1Ib,Ara
14318,,3.08627,38.840274,3.32,M3IIIvar,Per
59592,Megrez,12.257086,57.032617,3.32,A3Vvar,UMa
93569,,19.11567,-27.670423,3.32,K1/K2III,Sgr
87775,,17.983775,-9.773632,3.32,K0III,Oph
5154,,1.101407,-46.718414,3.32,G8IIIvar,Phe
83885,,17.202552,-43.239189,3.32,F3p,Sco
54718,Chertan,11.237335,15.42957,3.33,A2V,Leo
19730,,4.240404,-62.473858,3.33,G7III,Ret
38062,Azmidi,7.821571,-24.859786,3.34,G6Ia,Pup
25218,,5.407949,-2.397146,3.35,B1V + B2,Ori
32276,Alzirr,6.754824,12.895591,3.35,F5IV,Gem
41586,Muscida,8.504431,60.718169,3.35,G4II-III,UMa
8867,Segin,1.906584,63.670101,3.35,B2pvar,Cas
95207,,19.424972,3.114775,3.36,F0IV,Aql
75035,,15.378021,-44.689622,3.37,B2IV-V,Lup
42990,Ashlesha,8.779587,6.418809,3.38,G0III-IV,Hya
66040,Heze,13.57822,-0.59582,3.38,A3V,Vir
50229,,10.28472,-61.332304,3.39,K3II,Car
109146,,22.180908,58.201261,3.39,K1Ibv SB,Cep
62890,Minelauva,12.926725,3.39747,3.39,M3III,Vir
26142,Meissa,5.585633,9.934158,3.39,O...,Ori
119131,,17.172783,-15.726921,3.4,A3 V,Oph
20842,Chamukuy,4.477705,15.870883,3.4,A7III,Tau
67251,,13.825078,-41.687709,3.41,B2IV,Cen
102091,,20.754811,61.838782,3.41,K0IV,Cep
6853,,1.472759,-43.318234,3.41,K5II-III,Phe
18677,,4.011338,12.490347,3.41,B3V + A,Tau
111676,Homam,22.691033,10.831364,3.41,B8.5V,Peg
74167,,15.20476,-52.099247,3.41,G8III,Lup
102064,,20.749314,-66.203212,3.42,A5IV,Pav
86705,,17.774319,27.720676,3.42,G5IV,Her
78148,,16.002036,-38.396706,3.42,B2.5IV,Lup
8777,Mothallah,1.884696,29.578829,3.42,F6IV,Tri
44952,,9.182804,-58.966896,3.43,B2IV,Car
50193,Adhafera,10.278171,23.417311,3.43,F0III,Leo
93510,,19.10415,-4.882554,3.43,B9Vn,Aql
50230,Tania Borealis,10.284952,42.914365,3.45,A2IV,UMa
74438,,15.258376,33.314833,3.46,G8III,Boo
38713,,7.946313,-52.98236,3.46,B3IVp,Car
5353,,1.143164,-10.182264,3.46,K2III,Cet
3814,Achird,0.81826,57.815187,3.46,G0V SB,Cas
67259,,13.826943,-42.473732,3.47,B2IV-Ve,Cen
12673,Kaffaljidhma,2.721678,3.235818,3.47,A3V,Cet
81583,,16.714933,38.922254,3.48,G8III-IV,Her
49441,,10.122209,16.762664,3.48,A0Ib,Leo
55055,Alula Borealis,11.307983,33.094306,3.49,K3III SB,UMa
8087,,1.734479,-15.93748,3.49,G8V,Cet
112263,,22.809239,-51.316864,3.49,A3V,Gru
33769,Nganurganity,7.028652,-27.93483,3.49,K4III,CMa
90143,,18.449561,-45.968459,3.49,B3IV,Tel
73327,Nekkar,15.032436,40.390566,3.49,G8III,Boo
112364,,22.82802,66.200408,3.5,K0III,Cep
35453,Wasat,7.335383,21.98232,3.5,F0IV...,Gem
32672,,6.830683,-32.508478,3.5,B1.5IVne,CMa
98026,,19.979285,19.492148,3.51,K5III,Sge
112389,Sadalbari,22.833385,24.601579,3.51,M2III,Peg
109081,Biham,22.169996,6.197865,3.52,A2V,Peg
17336,Rana,3.720806,-9.763395,3.52,K0IV,Eri
92133,Sheliak,18.834665,33.362667,3.52,A8:V comp SB,Lyr
48635,,9.947708,-54.56779,3.52,B5Ib,Vel
118838,,12.694171,-1.449235,3.52,F0 V,Vir
47373,Subra,9.685843,9.892308,3.52,A5V+...,Leo
92793,,18.962167,-21.106654,3.52,G8/K0II/III,Sgr
20837,Ain,4.476943,19.180431,3.53,K0III,Tau
40411,Tarf,8.275256,9.185545,3.53,K4III,Cnc
77280,,15.827002,-3.430208,3.54,A0V,Ser
85998,,17.626445,-15.398557,3.54,F0IIIp,Ser
56174,,11.550038,-31.857625,3.54,G8III,Hya
69773,,14.323396,-46.058093,3.55,B2.5IV,Lup
98924,,20.145157,-66.182068,3.55,G5IV-Vvar,Pav
19992,,4.298237,-33.798348,3.55,B9V,Eri
89660,,18.350736,72.732843,3.55,F7Vvar,Dra
27220,,5.782595,-14.82195,3.55,A2Vann,Lep
10578,,2.275154,-51.512165,3.56,B8IV-V,Eri
1559,,0.323799,-8.823921,3.56,K2III,Cet
82294,Pipirima,16.872263,-38.017536,3.56,B2IV,Sco
55118,,11.322347,-14.778541,3.56,K0III,Crt
70828,,14.5305,30.371437,3.57,K3III,Boo
37633,,7.740793,24.397993,3.57,G8III,Gem
44343,Alkaphrah,9.060427,47.156525,3.57,A1Vn,UMa
74948,,15.36344,-36.261376,3.57,K5III,Lup
35253,,7.30155,16.540383,3.58,A3V...,Gem
99743,Algedi,20.300904,-12.544852,3.58,G6/G8III,Cap
27006,,5.741057,-22.448382,3.59,F7V,Lep
7593,Nembus,1.633205,48.628213,3.59,K3III,And
60075,Ginan,12.356031,-60.401147,3.59,K3/K4III,Cru
57584,Zavijava,11.844922,1.764718,3.59,F8V,Vir
24614,,5.293442,-6.844409,3.59,B5III,Ori
85467,,17.518318,-60.683848,3.6,B8V,Ara
32932,,6.879816,33.961254,3.6,A3III,Gem
46518,,9.511674,-40.466769,3.6,F2IV,Vel
42416,,8.671554,-52.921887,3.6,B3IV,Vel
6523,,1.40039,-8.183257,3.6,K0III,Cet
76235,,15.61707,-28.135079,3.6,K3III,Lib
63411,,13.037759,-71.548855,3.61,K2III,Mus
86661,,17.762221,-64.723871,3.61,K1III,Pav
13176,Bharani,2.833063,27.260507,3.61,B8Vn,Ari
15861,,3.413554,9.02887,3.61,G8III,Tau
49700,,10.176467,-12.354083,3.61,K0III,Hya
37711,,7.754249,-37.968584,3.62,K4III,Pup
7083,Alpherg,1.524725,15.345823,3.62,G8III,Psc
82477,,16.909731,-42.361313,3.62,K4III,Sco
17805,Atlas,3.819373,24.053415,3.62,B8III,Tau
113366,,23.032017,42.325979,3.62,B6pv SB,And
57190,,11.760141,-66.728763,3.63,A7III,Mus
101442,Rotanev,20.625816,14.595087,3.64,F5IV,Del
88439,,18.11052,-50.091477,3.65,B2Ib,Ara
20155,Prima Hyadum,4.329889,15.627642,3.65,G8III,Tau
110614,,22.480531,-0.019972,3.65,F3III-IV,Aqr
46600,,9.525453,63.061861,3.65,F0IV,UMa
76997,,15.769793,15.421826,3.65,A3V,Ser
75466,Nusakan,15.463818,29.105703,3.66,F0p,CrB
76365,,15.64427,-29.777754,3.66,B2.5V,Lib
68537,Thuban,14.073165,64.37585,3.67,A0III SB,Dra
102895,,20.913498,-58.454155,3.67,K0III,Ind
113980,,23.157443,-21.17241,3.68,K1III,Aqr
97056,,19.789795,18.534286,3.68,M2II + B6,Sge
22496,,4.853434,5.605104,3.68,B2III SB,Ori
42709,,8.726539,-33.186385,3.68,B1.5III,Pyx
8989,,1.932564,-51.608896,3.69,G5IV,Eri
23398,Saclateni,5.041301,41.075837,3.69,K4II comp,Aur
57226,Taiyangshou,11.767515,47.779406,3.69,K0III,UMa
106642,Nashira,21.668181,-16.662308,3.69,A7III:mp...,Cap
47719,,9.754117,-62.507903,3.69,G5Iab/Ib,Car
2914,Fulu,0.616188,53.896909,3.69,B2IV,Cas
114609,,23.286094,3.282289,3.7,G7III,Psc
15436,,3.325278,-21.757864,3.7,M3/M4III,Eri
87661,,17.962744,29.24788,3.7,K0III,Her
22744,,4.904193,2.440672,3.71,B2III SB,Ori
28032,,5.940082,-14.1677,3.71,F1V,Lep
88494,,18.122496,9.563847,3.71,A4IVs,Oph
38304,,7.870288,-40.575786,3.71,G5III...,Pup
97725,Alshain,19.921887,6.406763,3.71,G8IVvar,Aql
77386,,15.846935,4.47773,3.71,A2m,Ser
16496,Ran,3.548848,-9.458262,3.72,K2V,Eri
28287,,5.992111,54.284656,3.72,K0III,Aur
17457,Electra,3.747927,24.113339,3.72,B6III,Tau
103725,,21.082184,43.927852,3.72,K5Ibv SB,Cyg
106746,,21.691253,-77.390046,3.73,K0III,Oct
16044,,3.45282,9.73268,3.73,B9Vn,Tau
112601,,22.87691,-7.579599,3.73,M2IIIvar,Aqr
71994,,14.770812,1.892885,3.73,A0V,Vir
87314,Grumium,17.892134,56.872643,3.73,K2III,Dra
79928,,16.365338,19.15313,3.74,A9III,Her
8628,Baten Kaitos,1.857676,-10.335038,3.74,K2III,Cet
104549,,21.246517,38.045317,3.74,F1IV,Cyg
44383,,9.069248,-47.097737,3.75,K2III,Vel
86839,,17.798211,2.707276,3.75,A0V,Oph
30794,,6.480297,-7.033062,3.76,B3Ve,Mon
110822,,22.521515,50.282491,3.76,A1V,Lac
26004,,5.560421,-62.489825,3.76,F6Ia,Dor
27585,,5.855357,-20.879089,3.76,G8III/IV,Lep
93388,,19.07805,-21.741496,3.76,K0III,Sgr
95554,,19.495098,51.729779,3.76,A5Vn,Cyg
20405,Secunda Hyadum,4.382247,17.542514,3.77,G8III,Tau
41195,,8.428951,-66.13689,3.77,K2IIIvar,Vol
13234,Miram,2.844945,55.895496,3.77,K3Ib comp SB,Per
105540,,21.444452,-22.411332,3.77,G4Ibp...,Cap
26484,,5.645769,-2.600069,3.77,O9.5V...,Ori
42452,,8.677103,-46.648744,3.77,F3Ia,Vel
82112,,16.82976,-59.041378,3.77,K5III,Ara
108830,,22.116847,25.345112,3.77,F5V,Peg
17487,,3.753232,42.578549,3.77,F5IIvar,Per
101629,Sualocin,20.660635,15.912072,3.77,B9V,Del
35946,,7.428779,27.79808,3.78,G9III+...,Gem
48182,,9.849867,59.038735,3.78,F0IV,UMa
102287,Albali,20.794598,-9.495776,3.78,A1V,Aqr
53099,,10.891559,-58.853171,3.78,K0III-IV...,Car
34389,,7.145788,-70.498932,3.78,G8IIIvar,Vol
71569,,14.68582,13.7283,3.78,A3IVn,Boo
14632,Misam,3.158258,44.857544,3.79,K0III,Per
53075,Praecipua,10.888526,34.214871,3.79,K0III-IV,LMi
37124,,7.647186,-26.803836,3.8,B5IV,Pup
94484,,19.28504,53.368459,3.8,K0III,Cyg
76044,,15.580041,10.538867,3.8,F0IV,Ser
99356,,20.227196,46.741329,3.8,K2II+...,Cyg
14843,Dalim,3.201249,-28.987618,3.8,F8V,For
51087,,10.464649,-58.739403,3.81,F2II,Car
76716,,15.712381,26.295637,3.81,A1Vs,CrB
21340,Theemin,4.592512,-30.562341,3.81,G8III,Eri
116218,,23.626056,46.458152,3.81,G8III-IV,And
9467,Alrescha,2.034117,2.763759,3.82,A2,Psc
45557,,9.314069,36.802597,3.82,A1V,Lyn
86148,,17.657747,46.006332,3.82,B3V SB,Her
56044,Giausar,11.523407,69.331076,3.82,M0IIIvar,Dra
80637,Marfik,16.515229,1.983923,3.82,A2V,Oph
50924,,10.434842,-16.83629,3.83,K4III,Hya
72144,,14.797701,-79.044751,3.83,K5III,Aps
68027,,13.971186,-42.100753,3.83,B2IV,Cen
43659,,8.917457,-60.644609,3.84,B8III,Car
51475,,10.546853,9.306586,3.84,B1Ib SB,Leo
89064,Polis,18.229392,-21.058834,3.84,B2III:,Sgr
